     Src IP Addr      Dst IP Addr    Bytes Date first seen         Date last seen         
   192.168.250.3,  23.226.231.226,     572,2020-02-25 11:21:06.190,2020-02-25 11:29:59.190
  192.168.250.50,   40.114.211.99,    2241,2020-02-25 11:28:30.860,2020-02-25 11:30:01.130
   192.168.250.3,  23.226.231.226,     308,2020-02-25 11:29:30.210,2020-02-25 11:30:01.790
  192.168.250.62,   192.168.250.1,     152,2020-02-25 11:30:01.860,2020-02-25 11:30:01.860
   192.168.250.1,  192.168.250.62,     152,2020-02-25 11:30:01.860,2020-02-25 11:30:01.860
  192.168.250.50,   192.168.250.1,     132,2020-02-25 11:30:02.530,2020-02-25 11:30:02.530
   192.168.250.1,  192.168.250.50,     450,2020-02-25 11:30:02.540,2020-02-25 11:30:02.540
  192.168.250.50,   173.194.73.95,    5023,2020-02-25 11:30:02.540,2020-02-25 11:30:02.540
   173.194.73.95,   217.15.20.194,    6248,2020-02-25 11:30:02.550,2020-02-25 11:30:02.550
  192.168.250.50,   192.168.250.1,     126,2020-02-25 11:30:02.700,2020-02-25 11:30:02.700
  192.168.250.50,   192.168.250.1,     112,2020-02-25 11:30:02.700,2020-02-25 11:30:02.700
   192.168.250.1,  192.168.250.50,     616,2020-02-25 11:30:02.700,2020-02-25 11:30:02.700
   192.168.250.1,  192.168.250.50,     502,2020-02-25 11:30:02.700,2020-02-25 11:30:02.700
  192.168.250.50,   108.177.14.94,    4313,2020-02-25 11:30:02.710,2020-02-25 11:30:02.710
   108.177.14.94,   217.15.20.194,    4185,2020-02-25 11:30:02.730,2020-02-25 11:30:02.730
  192.168.250.27,   192.168.250.1,     156,2020-02-25 11:30:03.680,2020-02-25 11:30:03.680
  192.168.250.27,   192.168.250.1,     156,2020-02-25 11:30:03.680,2020-02-25 11:30:03.680
   192.168.250.1,  192.168.250.27,     508,2020-02-25 11:30:03.680,2020-02-25 11:30:03.680
  192.168.250.27,   192.168.250.1,     158,2020-02-25 11:30:03.680,2020-02-25 11:30:03.680
  192.168.250.27,   192.168.250.1,     158,2020-02-25 11:30:03.680,2020-02-25 11:30:03.680
   192.168.250.1,  192.168.250.27,     700,2020-02-25 11:30:03.680,2020-02-25 11:30:03.680
  192.168.250.27,   192.168.250.1,     156,2020-02-25 11:30:03.690,2020-02-25 11:30:03.690
  192.168.250.27,   192.168.250.1,     156,2020-02-25 11:30:03.690,2020-02-25 11:30:03.690
   192.168.250.1,  192.168.250.27,     768,2020-02-25 11:30:03.690,2020-02-25 11:30:03.690
  192.168.250.27,   192.168.250.1,     176,2020-02-25 11:30:03.690,2020-02-25 11:30:03.690
  192.168.250.27,   192.168.250.1,     176,2020-02-25 11:30:03.690,2020-02-25 11:30:03.690
   192.168.250.1,  192.168.250.27,     768,2020-02-25 11:30:03.690,2020-02-25 11:30:03.690
  192.168.250.27,   192.168.250.1,     154,2020-02-25 11:30:03.690,2020-02-25 11:30:03.690
  192.168.250.27,   192.168.250.1,     154,2020-02-25 11:30:03.690,2020-02-25 11:30:03.690
   192.168.250.1,  192.168.250.27,     764,2020-02-25 11:30:03.700,2020-02-25 11:30:03.700
  192.168.250.27,   192.168.250.1,     154,2020-02-25 11:30:03.700,2020-02-25 11:30:03.700
  192.168.250.27,   192.168.250.1,     154,2020-02-25 11:30:03.700,2020-02-25 11:30:03.700
   192.168.250.1,  192.168.250.27,     764,2020-02-25 11:30:03.700,2020-02-25 11:30:03.700
   192.168.250.1,  192.168.250.27,     676,2020-02-25 11:30:03.700,2020-02-25 11:30:03.700
  192.168.250.27,   192.168.250.1,     152,2020-02-25 11:30:03.700,2020-02-25 11:30:03.700
  192.168.250.27,   192.168.250.1,     152,2020-02-25 11:30:03.700,2020-02-25 11:30:03.700
   192.168.250.1,  192.168.250.27,     676,2020-02-25 11:30:03.700,2020-02-25 11:30:03.700
   192.168.250.1,  192.168.250.27,     888,2020-02-25 11:30:03.710,2020-02-25 11:30:03.710
  192.168.250.27,   192.168.250.1,     156,2020-02-25 11:30:03.710,2020-02-25 11:30:03.710
